"TOA5","2833","CR3000","2833","CR3000.Std.27","CPU:Institut-EC-Station_5.CR3","23581","Table3"
"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","soiltemp_Avg","VWC_1_Avg","SR01_Out_Avg","SR01_In_Avg","IR01_Out_Avg","IR01_In_Avg","NR01_TC_Avg","NR01_TK_Avg","NetRs_Avg","NetRl_Avg","Albedo_Avg","OutTot_Avg","InTot_Avg","NetTot_Avg","IR01_OutCo_Avg","IR01_InCo_Avg","H_Flux_Avg"
"TS","RN","Volts","Deg C","Deg C","","W/metre^2","W/metre^2","W/metre^2","W/metre^2","Deg C","k","W/metre^2","W/metre^2","W/metre^2","W/metre62","W/metre^2","W/metre^2","W/metre^2","W/metre^2","W/m^2"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2015-07-27 15:30:00",0,9.35,26.72,"NAN","NAN","NAN","NAN",-1455,-1015,"NAN","NAN","NAN",440.3,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2015-07-27 16:20:00",1,0,24.89,"NAN","NAN",-1692,"NAN",-1856,"NAN","NAN","NAN","NAN","NAN","NAN",-3548,"NAN","NAN","NAN","NAN",13.06828
"2015-07-27 16:30:00",2,13.13,25.39,19.2,0.245,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",8.441624
"2015-07-27 16:40:00",3,13.13,25.75,19.23,0.246,"NAN","NAN","NAN","NAN",-223.6,49.59,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",8.310964
"2015-07-27 16:50:00",4,13.12,25.87,19.25,0.246,"NAN","NAN","NAN","NAN",-223.8,49.34,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",8.092677
"2015-07-27 17:00:00",5,13.12,25.47,19.27,0.246,"NAN","NAN","NAN","NAN",-224.2,48.9,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",7.797745
"2015-07-27 17:10:00",6,13.13,25.53,19.28,0.246,"NAN","NAN","NAN","NAN",-224.8,48.4,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",7.615531
"2015-07-27 17:20:00",7,13.13,25.46,19.29,0.245,"NAN","NAN","NAN","NAN",-224.5,48.63,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",7.31655
